ts,open,high,low,close,volume
1672531200,1.09,1.09,1.08,1.08,1274
1672545600,1.08,1.08,1.08,1.08,1150
1672560000,1.08,1.08,1.08,1.08,1124
1672574400,1.08,1.09,1.08,1.08,1176
1672588800,1.08,1.08,1.08,1.08,977
1672603200,1.08,1.09,1.08,1.08,635
1672617600,1.09,1.09,1.08,1.08,1254
1672632000,1.09,1.09,1.08,1.09,761
1672646400,1.09,1.09,1.08,1.09,813
1672660800,1.09,1.09,1.08,1.09,929
1672675200,1.09,1.1,1.09,1.09,834
1672689600,1.09,1.1,1.09,1.09,1100
1672704000,1.09,1.09,1.09,1.09,1228
1672718400,1.09,1.09,1.09,1.09,622
1672732800,1.09,1.1,1.09,1.09,897
1672747200,1.09,1.1,1.09,1.1,541
1672761600,1.09,1.1,1.09,1.09,785
1672776000,1.09,1.09,1.09,1.09,1032
1672790400,1.09,1.09,1.09,1.09,991
1672804800,1.09,1.09,1.09,1.09,1017
1672819200,1.09,1.09,1.08,1.09,1442
1672833600,1.09,1.09,1.09,1.09,746
1672848000,1.09,1.09,1.08,1.08,1312
1672862400,1.09,1.09,1.08,1.08,1162
1672876800,1.08,1.09,1.08,1.09,1483
1672891200,1.08,1.09,1.08,1.09,956
1672905600,1.09,1.09,1.08,1.09,1253
1672920000,1.09,1.09,1.08,1.09,100
1672934400,1.09,1.09,1.08,1.09,1295
1672948800,1.09,1.09,1.09,1.09,1393
1672963200,1.08,1.09,1.08,1.09,988
1672977600,1.09,1.09,1.08,1.09,1295
1672992000,1.09,1.1,1.09,1.09,957
1673006400,1.09,1.09,1.09,1.09,601
1673020800,1.09,1.09,1.09,1.09,663
1673035200,1.09,1.09,1.09,1.09,779
1673049600,1.09,1.09,1.09,1.09,1102
1673064000,1.09,1.1,1.09,1.09,1625
1673078400,1.09,1.09,1.09,1.09,720
1673092800,1.08,1.09,1.08,1.08,994
1673107200,1.08,1.09,1.08,1.08,1069
1673121600,1.08,1.08,1.08,1.08,931
