ts,open,high,low,close,volume
1672531200,1.09,1.09,1.08,1.08,812
1672533000,1.08,1.09,1.08,1.08,961
1672534800,1.09,1.09,1.09,1.09,952
1672536600,1.09,1.09,1.08,1.09,1291
1672538400,1.09,1.09,1.08,1.08,1111
1672540200,1.08,1.08,1.08,1.08,750
1672542000,1.08,1.08,1.07,1.08,885
1672543800,1.08,1.08,1.08,1.08,873
1672545600,1.07,1.07,1.07,1.07,1442
1672547400,1.07,1.07,1.07,1.07,756
1672549200,1.07,1.07,1.06,1.07,1407
1672551000,1.07,1.07,1.06,1.07,690
1672552800,1.07,1.07,1.07,1.07,815
1672554600,1.07,1.07,1.07,1.07,1018
1672556400,1.07,1.07,1.06,1.07,804
1672558200,1.07,1.07,1.07,1.07,313
1672560000,1.07,1.07,1.06,1.07,546
1672561800,1.07,1.07,1.06,1.07,1280
1672563600,1.07,1.07,1.06,1.06,1150
1672565400,1.07,1.07,1.06,1.06,614
1672567200,1.06,1.07,1.06,1.06,637
1672569000,1.06,1.06,1.06,1.06,1493
1672570800,1.06,1.06,1.06,1.06,1514
1672572600,1.06,1.06,1.06,1.06,923
1672574400,1.06,1.07,1.06,1.06,942
1672576200,1.06,1.07,1.06,1.07,799
1672578000,1.07,1.07,1.06,1.07,299
1672579800,1.06,1.07,1.06,1.06,519
1672581600,1.06,1.06,1.06,1.06,811
1672583400,1.06,1.07,1.06,1.06,1522
1672585200,1.06,1.07,1.06,1.07,1089
1672587000,1.07,1.07,1.06,1.07,1089
1672588800,1.07,1.07,1.07,1.07,1266
1672590600,1.07,1.08,1.07,1.07,910
1672592400,1.07,1.07,1.07,1.07,909
1672594200,1.07,1.07,1.07,1.07,967
1672596000,1.07,1.08,1.07,1.07,1220
1672597800,1.07,1.08,1.07,1.07,684
1672599600,1.07,1.07,1.07,1.07,1241
1672601400,1.07,1.08,1.07,1.07,1256
1672603200,1.07,1.08,1.07,1.07,1288
1672605000,1.07,1.08,1.07,1.07,1946
1672606800,1.07,1.08,1.07,1.07,539
1672608600,1.07,1.08,1.07,1.07,658
1672610400,1.07,1.07,1.07,1.07,1213
1672612200,1.07,1.07,1.07,1.07,848
1672614000,1.07,1.07,1.06,1.07,1320
1672615800,1.07,1.07,1.07,1.07,888
1672617600,1.07,1.07,1.07,1.07,1806
1672619400,1.07,1.07,1.06,1.06,1235
1672621200,1.06,1.07,1.06,1.07,873
1672623000,1.06,1.07,1.06,1.07,713
1672624800,1.07,1.07,1.06,1.06,1743
1672626600,1.06,1.07,1.06,1.06,1011
