ts,open,high,low,close,volume
1672531200,1.22,1.22,1.21,1.22,803
1672545600,1.22,1.22,1.21,1.22,889
1672560000,1.22,1.22,1.21,1.22,1137
1672574400,1.22,1.23,1.22,1.22,705
1672588800,1.22,1.22,1.22,1.22,1198
1672603200,1.22,1.22,1.22,1.22,746
1672617600,1.22,1.22,1.22,1.22,1264
1672632000,1.22,1.22,1.22,1.22,939
1672646400,1.22,1.22,1.22,1.22,953
1672660800,1.22,1.23,1.22,1.22,781
1672675200,1.22,1.23,1.22,1.22,1438
1672689600,1.22,1.23,1.22,1.22,915
1672704000,1.22,1.22,1.22,1.22,1163
1672718400,1.22,1.23,1.22,1.23,1290
1672732800,1.23,1.23,1.23,1.23,988
1672747200,1.23,1.23,1.23,1.23,1344
1672761600,1.23,1.23,1.23,1.23,1056
1672776000,1.23,1.23,1.23,1.23,694
1672790400,1.23,1.23,1.23,1.23,1120
1672804800,1.23,1.23,1.23,1.23,416
1672819200,1.23,1.23,1.23,1.23,934
1672833600,1.23,1.23,1.23,1.23,1626
1672848000,1.23,1.23,1.23,1.23,1015
1672862400,1.23,1.23,1.23,1.23,936
1672876800,1.23,1.23,1.22,1.23,1483
1672891200,1.22,1.23,1.22,1.23,877
1672905600,1.23,1.23,1.23,1.23,1130
1672920000,1.23,1.23,1.22,1.23,1033
1672934400,1.23,1.23,1.23,1.23,665
1672948800,1.23,1.24,1.23,1.24,617
1672963200,1.24,1.24,1.24,1.24,792
1672977600,1.24,1.25,1.24,1.24,609
1672992000,1.24,1.25,1.24,1.24,679
1673006400,1.24,1.25,1.24,1.24,1088
1673020800,1.24,1.25,1.24,1.24,748
1673035200,1.24,1.24,1.24,1.24,950
1673049600,1.24,1.24,1.24,1.24,1219
1673064000,1.24,1.24,1.24,1.24,1003
1673078400,1.24,1.24,1.24,1.24,1080
1673092800,1.24,1.24,1.24,1.24,899
1673107200,1.24,1.24,1.24,1.24,1640
1673121600,1.24,1.24,1.23,1.24,1217
1673136000,1.24,1.24,1.24,1.24,982
1673150400,1.24,1.24,1.24,1.24,930
1673164800,1.24,1.24,1.23,1.24,891
1673179200,1.24,1.24,1.23,1.24,565
1673193600,1.24,1.24,1.24,1.24,830
1673208000,1.24,1.24,1.24,1.24,973
1673222400,1.24,1.24,1.24,1.24,847
1673236800,1.24,1.24,1.23,1.23,1260
1673251200,1.24,1.24,1.23,1.24,1026
1673265600,1.24,1.24,1.24,1.24,1272
1673280000,1.24,1.24,1.24,1.24,588
1673294400,1.24,1.24,1.23,1.24,1103
1673308800,1.24,1.24,1.23,1.24,1209
1673323200,1.24,1.24,1.23,1.24,939
1673337600,1.24,1.24,1.23,1.24,1056
1673352000,1.24,1.24,1.24,1.24,1297
1673366400,1.24,1.25,1.24,1.24,905
1673380800,1.24,1.24,1.23,1.24,920
1673395200,1.23,1.23,1.23,1.23,1270
1673409600,1.23,1.23,1.23,1.23,723
1673424000,1.23,1.23,1.23,1.23,999
1673438400,1.23,1.24,1.23,1.23,783
1673452800,1.23,1.23,1.23,1.23,1026
1673467200,1.23,1.24,1.23,1.23,1188
1673481600,1.23,1.23,1.22,1.23,1361
1673496000,1.23,1.23,1.23,1.23,1143
1673510400,1.23,1.24,1.23,1.23,1013
1673524800,1.23,1.24,1.23,1.23,845
1673539200,1.23,1.24,1.23,1.24,1265
1673553600,1.24,1.24,1.23,1.23,567
1673568000,1.23,1.24,1.23,1.23,950
1673582400,1.24,1.24,1.23,1.23,1060
1673596800,1.24,1.24,1.23,1.24,765
1673611200,1.23,1.23,1.23,1.23,650
1673625600,1.23,1.24,1.23,1.23,1126
1673640000,1.23,1.23,1.22,1.23,1033
1673654400,1.23,1.23,1.23,1.23,273
1673668800,1.23,1.23,1.22,1.23,979
1673683200,1.23,1.23,1.22,1.23,1284
1673697600,1.23,1.23,1.23,1.23,808
1673712000,1.23,1.23,1.23,1.23,735
1673726400,1.24,1.24,1.23,1.23,750
1673740800,1.24,1.24,1.23,1.24,1425
1673755200,1.24,1.24,1.23,1.23,966
1673769600,1.23,1.24,1.23,1.23,680
1673784000,1.23,1.23,1.22,1.22,356
1673798400,1.22,1.23,1.22,1.22,861
1673812800,1.22,1.23,1.22,1.23,1310
1673827200,1.23,1.23,1.22,1.22,1124
1673841600,1.22,1.22,1.22,1.22,996
1673856000,1.22,1.22,1.22,1.22,670
1673870400,1.22,1.22,1.22,1.22,801
1673884800,1.22,1.22,1.22,1.22,937
1673899200,1.22,1.22,1.22,1.22,1061
1673913600,1.22,1.22,1.22,1.22,1060
1673928000,1.22,1.22,1.22,1.22,778
1673942400,1.22,1.22,1.22,1.22,1065
1673956800,1.22,1.22,1.22,1.22,817
1673971200,1.22,1.22,1.22,1.22,1399
1673985600,1.22,1.22,1.22,1.22,870
1674000000,1.22,1.22,1.22,1.22,1454
1674014400,1.23,1.23,1.22,1.23,1133
1674028800,1.23,1.23,1.22,1.23,989
1674043200,1.23,1.23,1.22,1.23,727
1674057600,1.23,1.23,1.23,1.23,881
1674072000,1.23,1.23,1.23,1.23,1214
1674086400,1.23,1.23,1.23,1.23,1050
1674100800,1.23,1.24,1.23,1.23,792
1674115200,1.23,1.24,1.23,1.23,655
1674129600,1.23,1.23,1.23,1.23,1412
1674144000,1.23,1.23,1.22,1.23,691
1674158400,1.23,1.23,1.22,1.22,865
1674172800,1.22,1.23,1.22,1.23,456
1674187200,1.23,1.23,1.23,1.23,1027
1674201600,1.22,1.23,1.22,1.22,1490
1674216000,1.22,1.23,1.22,1.23,1080
1674230400,1.22,1.22,1.22,1.22,1257
1674244800,1.22,1.23,1.22,1.22,695
1674259200,1.22,1.23,1.22,1.22,1382
1674273600,1.22,1.22,1.21,1.21,744
1674288000,1.21,1.22,1.21,1.21,938
