ts,open,high,low,close,volume
1672531200,1.22,1.22,1.21,1.22,885
1672533000,1.22,1.22,1.21,1.21,758
1672534800,1.21,1.21,1.21,1.21,747
1672536600,1.21,1.21,1.2,1.21,1478
1672538400,1.21,1.21,1.21,1.21,1001
1672540200,1.2,1.21,1.2,1.2,1086
1672542000,1.21,1.21,1.2,1.21,1082
1672543800,1.21,1.21,1.2,1.21,1162
1672545600,1.21,1.21,1.21,1.21,1113
1672547400,1.21,1.21,1.2,1.21,1127
1672549200,1.21,1.21,1.2,1.2,459
1672551000,1.2,1.21,1.2,1.2,723
1672552800,1.2,1.2,1.2,1.2,1359
1672554600,1.2,1.2,1.2,1.2,1074
1672556400,1.2,1.2,1.2,1.2,828
1672558200,1.2,1.2,1.2,1.2,990
1672560000,1.2,1.2,1.2,1.2,905
1672561800,1.2,1.2,1.19,1.2,1240
1672563600,1.2,1.2,1.2,1.2,1205
1672565400,1.2,1.21,1.2,1.2,891
1672567200,1.2,1.2,1.2,1.2,1324
1672569000,1.2,1.2,1.2,1.2,865
1672570800,1.2,1.2,1.19,1.2,1366
1672572600,1.2,1.2,1.2,1.2,1283
1672574400,1.2,1.2,1.2,1.2,663
1672576200,1.2,1.2,1.2,1.2,793
1672578000,1.2,1.2,1.2,1.2,1210
1672579800,1.2,1.2,1.19,1.19,675
1672581600,1.2,1.2,1.19,1.19,665
1672583400,1.19,1.2,1.19,1.19,1089
1672585200,1.19,1.2,1.19,1.19,1276
1672587000,1.19,1.2,1.19,1.19,1047
1672588800,1.19,1.19,1.18,1.19,1317
1672590600,1.19,1.19,1.18,1.19,1335
1672592400,1.19,1.19,1.19,1.19,1426
1672594200,1.19,1.19,1.19,1.19,1515
1672596000,1.19,1.19,1.19,1.19,976
1672597800,1.19,1.19,1.19,1.19,1420
1672599600,1.18,1.19,1.18,1.18,1348
1672601400,1.19,1.19,1.18,1.18,945
1672603200,1.18,1.19,1.18,1.19,934
1672605000,1.18,1.19,1.18,1.18,914
