ts,open,high,low,close,volume
1672531200,1950.55,1953.78,1949.27,1952.49,776
1672534800,1950.93,1955.77,1945.52,1951.75,1015
1672538400,1951.41,1952.59,1949.75,1949.86,808
1672542000,1949.14,1951.38,1945.04,1947.27,1061
1672545600,1946.33,1950.46,1940.34,1947.78,1486
1672549200,1945.67,1947.2,1941.6,1944.08,1002
1672552800,1942.63,1944.53,1940.42,1942.16,805
1672556400,1943.92,1945.4,1940.46,1942.32,629
1672560000,1942.44,1945.65,1940.04,1944.12,758
1672563600,1944.71,1950.39,1942.29,1943.26,676
1672567200,1941.37,1946.67,1937.59,1940.32,1249
1672570800,1942.61,1944.63,1939.43,1941.88,716
1672574400,1939.82,1942.6,1938.3,1941.74,832
1672578000,1940.1,1943.95,1937.12,1940.78,638
1672581600,1939.46,1940.89,1935.96,1937.49,1056
1672585200,1941.72,1944.19,1940.07,1940.33,734
1672588800,1940.53,1945.22,1934.94,1937.84,975
1672592400,1935.58,1940.55,1933.74,1935.48,841
1672596000,1939.47,1945.13,1933.77,1941.57,318
1672599600,1938.37,1943.91,1933.1,1941.75,1078
1672603200,1941.59,1947.5,1938.75,1940.9,1102
1672606800,1941.39,1942.94,1935.66,1938.36,1067
1672610400,1937.91,1943.36,1934.75,1938.57,1288
1672614000,1940.89,1942.53,1938.26,1941.9,1536
1672617600,1942.26,1946.82,1939.34,1943.24,863
1672621200,1945.35,1947.7,1941.92,1944.6,1072
1672624800,1947.39,1952.93,1941.68,1951.52,1502
1672628400,1949.7,1955.56,1947.85,1950.46,1444
1672632000,1949.78,1951.92,1948.69,1950.46,703
1672635600,1950.67,1953.67,1944.95,1952.17,843
1672639200,1951.52,1955.16,1950.03,1954.51,927
1672642800,1955.33,1959.29,1951.98,1952.45,632
1672646400,1950.48,1952.22,1946.24,1950.27,1326
1672650000,1950.09,1951.28,1946.62,1947.01,1011
1672653600,1944.96,1946.04,1939.23,1941.19,724
1672657200,1942.0,1947.88,1938.48,1939.72,906
1672660800,1939.25,1941.93,1938.05,1938.94,998
1672664400,1939.81,1941.2,1936.43,1940.89,1114
1672668000,1943.96,1947.2,1941.04,1944.98,1243
1672671600,1946.66,1952.57,1945.4,1946.17,1372
1672675200,1946.26,1951.48,1943.07,1951.0,1031
1672678800,1950.98,1952.31,1947.6,1951.12,1214
1672682400,1949.99,1955.55,1944.36,1954.18,1290
1672686000,1949.33,1953.2,1944.38,1949.54,745
1672689600,1949.8,1951.79,1947.6,1949.05,1042
1672693200,1946.46,1947.74,1941.7,1942.4,1026
1672696800,1940.59,1944.45,1936.71,1940.5,816
1672700400,1944.47,1947.36,1941.53,1944.91,1006
1672704000,1948.17,1953.41,1942.95,1947.77,983
1672707600,1947.44,1953.37,1943.68,1949.17,988
1672711200,1947.36,1951.96,1944.78,1948.66,502
1672714800,1951.06,1953.84,1949.66,1952.54,1186
1672718400,1952.18,1954.06,1948.04,1948.69,1406
1672722000,1948.98,1951.35,1947.12,1947.37,1422
1672725600,1948.02,1950.09,1946.1,1949.09,838
1672729200,1949.98,1955.49,1947.99,1950.47,869
1672732800,1951.32,1953.17,1949.47,1949.88,1356
1672736400,1951.23,1956.25,1949.1,1950.07,1194
