ts,open,high,low,close,volume
1672531200,1947.73,1950.56,1943.46,1950.04,642
1672533000,1947.82,1950.25,1942.38,1948.7,1181
1672534800,1948.13,1949.42,1946.42,1948.26,1247
1672536600,1950.16,1952.75,1944.9,1952.6,706
1672538400,1951.56,1954.81,1949.29,1952.78,801
1672540200,1954.37,1956.93,1950.96,1953.05,1198
1672542000,1953.49,1958.08,1950.62,1951.42,977
1672543800,1952.63,1955.31,1948.44,1950.53,1036
1672545600,1953.25,1957.83,1947.73,1954.61,1021
1672547400,1951.81,1955.46,1950.32,1951.74,1273
1672549200,1950.48,1952.97,1945.64,1945.77,1106
1672551000,1944.12,1947.49,1940.83,1942.86,1237
1672552800,1944.1,1950.08,1938.42,1939.77,1145
1672554600,1940.74,1942.98,1934.78,1939.27,715
1672556400,1940.67,1943.08,1938.51,1938.94,585
1672558200,1937.85,1943.73,1934.23,1942.29,1038
1672560000,1943.3,1945.48,1941.85,1942.01,1056
1672561800,1944.39,1946.51,1938.97,1944.03,299
1672563600,1942.22,1946.96,1938.03,1944.93,1261
1672565400,1947.38,1949.53,1944.94,1945.02,329
1672567200,1944.87,1946.91,1942.52,1945.5,1022
1672569000,1945.55,1949.62,1942.46,1948.52,661
1672570800,1951.3,1955.34,1949.46,1950.89,857
1672572600,1949.42,1951.38,1944.22,1949.38,608
1672574400,1947.2,1952.08,1942.5,1951.39,848
1672576200,1948.67,1953.51,1944.54,1949.07,822
1672578000,1948.65,1950.95,1945.35,1946.61,1306
1672579800,1948.31,1952.42,1944.1,1950.2,816
1672581600,1946.95,1948.02,1944.61,1945.73,1191
1672583400,1941.84,1946.73,1938.28,1946.45,1071
1672585200,1944.53,1948.4,1943.41,1945.7,1199
1672587000,1945.43,1950.7,1942.9,1943.5,1282
1672588800,1946.63,1951.58,1943.08,1951.18,882
1672590600,1949.06,1950.95,1945.43,1948.15,1147
1672592400,1947.71,1953.61,1944.88,1950.97,1026
1672594200,1952.26,1955.59,1946.36,1951.75,1299
1672596000,1952.09,1953.11,1946.13,1948.26,991
1672597800,1947.39,1953.14,1942.88,1947.61,1059
1672599600,1949.86,1951.48,1945.96,1947.36,1765
1672601400,1946.59,1949.36,1943.61,1948.5,1253
1672603200,1945.75,1946.96,1943.69,1944.99,992
1672605000,1945.55,1950.16,1939.78,1944.66,1132
1672606800,1948.11,1953.0,1946.78,1949.83,1162
1672608600,1947.68,1951.29,1942.81,1950.92,896
1672610400,1953.29,1954.46,1950.53,1953.7,1009
1672612200,1952.44,1954.82,1950.88,1951.53,850
1672614000,1948.54,1950.83,1945.6,1947.43,806
1672615800,1948.39,1953.41,1946.16,1952.08,1172
1672617600,1953.03,1956.54,1950.13,1954.11,617
1672619400,1953.47,1957.33,1948.44,1948.86,961
1672621200,1949.08,1950.91,1947.61,1947.81,1012
1672623000,1952.21,1956.36,1948.05,1955.29,1122
1672624800,1959.4,1964.77,1955.95,1956.01,481
1672626600,1955.16,1957.8,1952.16,1955.97,904
1672628400,1954.98,1959.54,1950.95,1955.73,1292
1672630200,1956.34,1961.73,1952.39,1959.16,1567
1672632000,1959.22,1964.64,1954.43,1961.22,286
1672633800,1960.72,1965.71,1958.72,1961.79,1191
1672635600,1961.58,1965.24,1958.42,1961.24,915
1672637400,1959.46,1963.21,1955.25,1958.0,701
1672639200,1958.96,1962.56,1955.88,1958.56,1123
1672641000,1957.59,1959.37,1954.21,1957.56,1215
1672642800,1955.4,1959.45,1953.05,1957.33,350
1672644600,1959.59,1963.57,1957.75,1958.34,1318
1672646400,1960.83,1962.15,1958.33,1959.94,970
1672648200,1960.41,1966.31,1959.14,1966.21,1443
1672650000,1967.68,1972.11,1965.35,1968.9,981
1672651800,1970.64,1973.61,1966.35,1969.34,1052
1672653600,1969.08,1970.43,1965.34,1970.14,1331
1672655400,1971.58,1972.68,1968.88,1972.41,667
1672657200,1971.72,1975.78,1969.45,1970.89,1089
1672659000,1974.56,1980.44,1969.78,1970.0,1113
1672660800,1968.85,1972.67,1963.63,1966.06,1326
1672662600,1969.75,1974.79,1965.09,1973.82,471
1672664400,1973.13,1977.55,1967.45,1976.66,916
1672666200,1975.93,1978.11,1972.72,1975.39,994
1672668000,1977.16,1980.07,1972.04,1976.78,510
1672669800,1976.73,1977.8,1975.53,1977.37,913
1672671600,1980.49,1982.79,1974.53,1976.26,1149
1672673400,1976.14,1980.51,1972.68,1978.78,779
1672675200,1978.76,1984.33,1976.19,1980.04,1386
1672677000,1982.25,1986.56,1981.19,1986.07,1252
1672678800,1989.51,1991.66,1983.67,1990.96,1022
1672680600,1993.3,1994.41,1990.64,1991.26,1181
1672682400,1993.41,1996.24,1992.38,1992.8,1250
1672684200,1994.02,1996.76,1989.31,1996.41,754
1672686000,1994.83,1998.91,1992.43,1997.46,1656
1672687800,1995.66,1997.51,1991.59,1996.3,1028
1672689600,1995.86,1998.54,1991.87,1992.08,925
1672691400,1993.25,1995.76,1990.29,1991.61,500
1672693200,1992.18,1997.91,1991.03,1993.81,1173
1672695000,1990.58,1992.46,1985.58,1991.97,606
1672696800,1988.27,1990.99,1983.66,1987.44,432
1672698600,1987.21,1990.98,1984.86,1988.44,770
1672700400,1987.82,1989.64,1983.62,1988.99,1319
1672702200,1990.77,1995.57,1986.48,1988.21,993
1672704000,1989.63,1992.85,1983.64,1989.62,873
1672705800,1992.83,1997.51,1987.64,1997.49,747
1672707600,1997.22,2000.51,1995.3,1996.85,940
1672709400,1999.03,2004.96,1993.93,1999.12,1005
1672711200,1997.91,2000.47,1994.86,1998.23,1023
1672713000,2000.62,2005.39,1996.02,2002.62,943
1672714800,2003.9,2006.99,1999.67,2000.93,691
1672716600,1999.84,2005.41,1993.9,1995.62,1341
1672718400,1993.97,1998.01,1990.98,1994.12,1080
1672720200,1996.63,1998.55,1994.94,1995.89,1043
1672722000,1998.44,2001.53,1995.33,1995.43,1428
1672723800,1995.91,1997.51,1991.19,1993.85,1058
1672725600,1992.23,1996.17,1989.88,1991.14,1170
1672727400,1995.91,2000.21,1993.46,1996.83,985
1672729200,1998.06,2003.67,1996.61,2002.98,1104
1672731000,2005.48,2009.31,2000.41,2002.37,1256
1672732800,2005.24,2008.9,2004.12,2004.33,1371
1672734600,2006.12,2007.8,2000.95,2001.13,1157
1672736400,1998.26,2002.46,1995.97,2000.75,1367
1672738200,2005.32,2008.67,2003.39,2005.2,858
1672740000,2005.68,2006.92,2004.14,2006.61,1085
1672741800,2007.97,2009.82,2002.09,2008.53,884
1672743600,2007.09,2008.91,2004.47,2006.31,931
1672745400,2003.99,2008.79,2000.3,2003.3,327
1672747200,2005.46,2010.96,2002.27,2005.38,737
1672749000,2003.83,2008.66,2000.93,2008.45,1242
1672750800,2008.59,2011.62,2004.69,2010.39,888
1672752600,2011.36,2014.0,2009.59,2010.51,1321
1672754400,2012.2,2016.39,2008.02,2013.88,1287
1672756200,2014.47,2020.45,2010.33,2020.24,1394
1672758000,2020.28,2026.2,2016.04,2020.35,716
1672759800,2023.08,2026.03,2021.19,2023.5,910
1672761600,2025.22,2029.52,2021.29,2024.48,934
