ts,open,high,low,close,volume
1704038400,1.11735,1.1185,1.11416,1.11735,199.0
1704040200,1.11985,1.12218,1.11966,1.12209,212.0
1704042000,1.12308,1.12653,1.11973,1.12031,171.0
1704043800,1.11953,1.14071,1.1187,1.14052,220.0
1704045600,1.1433,1.14349,1.13851,1.13872,252.0
1704047400,1.13938,1.13993,1.12969,1.13098,100.0
1704049200,1.13178,1.13495,1.13131,1.13421,100.0
1704051000,1.13482,1.13533,1.12148,1.12224,143.0
1704052800,1.12497,1.13234,1.12335,1.12451,138.0
1704054600,1.12347,1.12589,1.12197,1.12359,493.0
1704056400,1.12444,1.12877,1.12368,1.12619,255.0
1704058200,1.12445,1.12466,1.10344,1.10427,143.0
1704060000,1.10454,1.10521,1.09429,1.09893,425.0
1704061800,1.10032,1.10095,1.08058,1.0815,634.0
1704063600,1.0816,1.09435,1.08043,1.09328,698.0
1704065400,1.09284,1.1012,1.09279,1.10101,266.0
1704067200,1.10065,1.10092,1.09172,1.09729,353.0
1704069000,1.09703,1.09754,1.0858,1.08774,424.0
1704070800,1.08623,1.08651,1.06979,1.07,124.0
1704072600,1.07047,1.07073,1.05511,1.05518,100.0
1704074400,1.05452,1.05477,1.04882,1.04916,102.0
1704076200,1.04996,1.05027,1.04245,1.04257,509.0
1704078000,1.04185,1.0428,1.04175,1.04269,126.0
1704079800,1.04282,1.04369,1.03727,1.03737,379.0
1704081600,1.03579,1.03948,1.02892,1.02934,1404.0
1704083400,1.0299,1.0301,1.02364,1.02367,116.0
1704085200,1.02279,1.03061,1.02278,1.0306,1554.0
1704087000,1.03153,1.03455,0.99873,1.00028,100.0
1704088800,0.99912,1.01174,0.99826,1.01048,150.0
1704090600,1.01094,1.02234,0.99976,1.00225,176.0
1704092400,1.00327,1.01197,1.00325,1.01193,588.0
1704094200,1.01102,1.02685,1.01064,1.02577,530.0
1704096000,1.02624,1.02816,1.02466,1.02524,149.0
1704097800,1.02426,1.02811,1.02375,1.02625,100.0
1704099600,1.0257,1.05283,1.02358,1.05124,280.0
1704101400,1.04903,1.05187,1.04897,1.05008,554.0
1704103200,1.04846,1.04884,1.0141,1.01412,100.0
1704105000,1.01618,1.01678,0.98596,0.9861,668.0
1704106800,0.98487,0.98563,0.96713,0.96748,186.0
1704108600,0.9663,0.97532,0.96623,0.97523,204.0
1704110400,0.97592,0.98172,0.97307,0.98011,100.0
1704112200,0.9805,0.99807,0.97881,0.99626,100.0
1704114000,0.9977,0.9977,0.99735,0.99755,235.0
1704115800,0.99747,1.01333,0.99685,1.01211,100.0
1704117600,1.01125,1.02173,1.00996,1.0214,216.0
1704119400,1.02189,1.02317,1.01394,1.01652,100.0
1704121200,1.01791,1.01942,0.99691,0.99827,100.0
1704123000,0.99846,1.00387,0.99844,1.00385,101.0
1704124800,1.00363,1.00398,0.98984,0.98984,197.0
1704126600,0.98917,0.99859,0.98187,0.9982,100.0
1704128400,0.99874,0.99971,0.99809,0.99862,100.0
1704130200,0.99843,1.01948,0.99815,1.01896,100.0
1704132000,1.01811,1.04628,1.01758,1.04618,113.0
1704133800,1.04631,1.04659,1.04248,1.044,529.0
1704135600,1.04283,1.04322,1.04051,1.0406,100.0
