ts,open,high,low,close,volume
1704038400,1.25572,1.25573,1.25494,1.25572,187.0
1704052800,1.25701,1.25818,1.24643,1.24764,266.0
1704067200,1.24622,1.24769,1.24588,1.24704,165.0
1704081600,1.24478,1.25328,1.24438,1.2532,100.0
1704096000,1.25211,1.25282,1.23549,1.23776,134.0
1704110400,1.23674,1.23675,1.22456,1.22516,205.0
1704124800,1.22381,1.23305,1.22311,1.23182,207.0
1704139200,1.23125,1.26771,1.22642,1.25595,100.0
1704153600,1.25857,1.26033,1.2518,1.25323,386.0
1704168000,1.25299,1.27029,1.25283,1.27022,312.0
1704182400,1.27329,1.27946,1.26616,1.27935,100.0
1704196800,1.28086,1.2992,1.28073,1.29888,157.0
1704211200,1.30001,1.31784,1.30001,1.31782,100.0
1704225600,1.31832,1.32082,1.31633,1.31845,248.0
1704240000,1.31843,1.33372,1.3183,1.33317,180.0
1704254400,1.33416,1.33466,1.31649,1.3177,100.0
1704268800,1.31756,1.33486,1.31736,1.33336,470.0
1704283200,1.33257,1.33297,1.32748,1.32749,640.0
1704297600,1.32873,1.33281,1.32623,1.33174,323.0
1704312000,1.33234,1.35136,1.3321,1.35131,100.0
1704326400,1.35163,1.35759,1.34847,1.35654,518.0
1704340800,1.35597,1.35803,1.35557,1.35781,164.0
1704355200,1.35799,1.35828,1.35672,1.35707,138.0
1704369600,1.35701,1.35728,1.34574,1.34964,100.0
1704384000,1.34989,1.35331,1.32288,1.32318,324.0
1704398400,1.32211,1.32272,1.32034,1.32055,144.0
1704412800,1.31915,1.31929,1.31136,1.31143,122.0
1704427200,1.31253,1.32416,1.3124,1.32402,120.0
1704441600,1.32467,1.33415,1.32407,1.33325,100.0
1704456000,1.3339,1.34,1.33385,1.33827,109.0
1704470400,1.3376,1.34621,1.33758,1.34619,100.0
1704484800,1.34544,1.34746,1.34373,1.34511,295.0
1704499200,1.34303,1.34954,1.34154,1.34949,168.0
1704513600,1.35092,1.35595,1.33329,1.33335,412.0
1704528000,1.33182,1.33851,1.33126,1.33667,204.0
1704542400,1.33503,1.34703,1.33386,1.34293,137.0
1704556800,1.34084,1.34093,1.3178,1.31782,102.0
1704571200,1.31921,1.32014,1.30482,1.30557,100.0
1704585600,1.30679,1.32403,1.30545,1.32383,100.0
1704600000,1.3224,1.33176,1.3222,1.32785,100.0
1704614400,1.33003,1.33018,1.32109,1.32206,162.0
1704628800,1.32415,1.32421,1.31242,1.31315,152.0
1704643200,1.31125,1.3117,1.29859,1.30554,100.0
1704657600,1.30542,1.30556,1.30205,1.30221,327.0
1704672000,1.30342,1.30844,1.30257,1.30556,936.0
1704686400,1.30779,1.30844,1.2902,1.29273,130.0
1704700800,1.29578,1.29763,1.28368,1.28452,100.0
1704715200,1.28621,1.30808,1.28571,1.30783,311.0
1704729600,1.30744,1.31026,1.30678,1.30891,110.0
1704744000,1.30839,1.30957,1.30832,1.30954,100.0
1704758400,1.31102,1.31118,1.29653,1.29982,100.0
1704772800,1.29915,1.31044,1.29883,1.30739,100.0
1704787200,1.30839,1.30915,1.29632,1.3066,2463.0
1704801600,1.30749,1.31689,1.30687,1.31598,100.0
1704816000,1.31408,1.3315,1.31144,1.33134,335.0
1704830400,1.33033,1.33044,1.32486,1.32558,134.0
1704844800,1.32475,1.3255,1.31121,1.31147,161.0
1704859200,1.31009,1.3311,1.30852,1.33047,189.0
1704873600,1.33345,1.33349,1.33144,1.33231,388.0
1704888000,1.33469,1.33478,1.33336,1.33377,100.0
1704902400,1.33526,1.33602,1.31632,1.31759,235.0
1704916800,1.31675,1.32519,1.3159,1.32143,222.0
1704931200,1.32085,1.32282,1.29942,1.29994,292.0
1704945600,1.30023,1.30098,1.29274,1.29364,122.0
1704960000,1.29309,1.29324,1.28743,1.28748,100.0
1704974400,1.28674,1.30089,1.28656,1.30067,401.0
1704988800,1.29869,1.30688,1.29619,1.3044,195.0
1705003200,1.30327,1.30398,1.29426,1.29543,334.0
1705017600,1.29553,1.31222,1.28606,1.30937,112.0
1705032000,1.3093,1.32792,1.30822,1.32783,100.0
1705046400,1.32904,1.33048,1.31934,1.31941,279.0
1705060800,1.32021,1.32022,1.30018,1.30036,816.0
1705075200,1.30241,1.30256,1.28164,1.28457,100.0
1705089600,1.28454,1.29831,1.28374,1.29449,141.0
1705104000,1.29339,1.29677,1.2907,1.29155,106.0
1705118400,1.2934,1.29515,1.2926,1.29483,132.0
1705132800,1.29583,1.30117,1.27899,1.28333,141.0
1705147200,1.28264,1.28362,1.28141,1.28146,124.0
1705161600,1.28249,1.28728,1.28211,1.28701,257.0
1705176000,1.28551,1.28878,1.28035,1.28162,130.0
1705190400,1.28126,1.28202,1.26293,1.26418,251.0
1705204800,1.26114,1.27962,1.261,1.27959,247.0
1705219200,1.28069,1.29305,1.28059,1.29223,228.0
1705233600,1.29343,1.30548,1.29227,1.30434,100.0
1705248000,1.3046,1.31458,1.30438,1.31273,100.0
1705262400,1.31358,1.31583,1.30982,1.31005,162.0
1705276800,1.31171,1.33267,1.31155,1.33263,100.0
1705291200,1.33366,1.33373,1.32778,1.33063,285.0
1705305600,1.33008,1.33009,1.32164,1.32167,145.0
1705320000,1.32379,1.32835,1.29586,1.29999,808.0
1705334400,1.30061,1.30408,1.29158,1.29312,582.0
1705348800,1.29206,1.2986,1.29045,1.29788,100.0
1705363200,1.29706,1.31213,1.29676,1.31045,190.0
1705377600,1.31149,1.31163,1.30083,1.30084,418.0
1705392000,1.29788,1.30546,1.29671,1.30201,114.0
1705406400,1.30038,1.30987,1.29815,1.30812,254.0
1705420800,1.30815,1.31118,1.29612,1.3005,100.0
1705435200,1.29871,1.30416,1.29685,1.30327,3102.0
1705449600,1.30184,1.3074,1.30175,1.30725,467.0
1705464000,1.30782,1.30823,1.28991,1.2903,100.0
1705478400,1.28745,1.28821,1.28224,1.28395,100.0
1705492800,1.28575,1.28692,1.27635,1.28198,100.0
1705507200,1.28038,1.2821,1.26372,1.2682,6080.0
1705521600,1.26667,1.26725,1.25448,1.25702,205.0
1705536000,1.25823,1.25843,1.24901,1.24902,141.0
1705550400,1.24741,1.27118,1.23528,1.26922,161.0
1705564800,1.26924,1.28772,1.26691,1.28655,439.0
1705579200,1.28879,1.32096,1.28868,1.32061,105.0
1705593600,1.31922,1.33106,1.31922,1.33094,2051.0
1705608000,1.32839,1.32847,1.32648,1.32681,100.0
1705622400,1.326,1.36158,1.32458,1.3615,822.0
1705636800,1.36169,1.39667,1.36085,1.39441,124.0
1705651200,1.39452,1.40413,1.39402,1.39941,455.0
1705665600,1.39849,1.39936,1.36257,1.37078,110.0
1705680000,1.36998,1.38394,1.36951,1.38344,377.0
1705694400,1.38461,1.3895,1.38397,1.38629,100.0
1705708800,1.38691,1.38711,1.37018,1.37154,158.0
1705723200,1.37272,1.37935,1.37053,1.37884,329.0
1705737600,1.38153,1.3819,1.37205,1.37244,186.0
1705752000,1.37112,1.39633,1.37,1.39235,100.0
1705766400,1.39177,1.39214,1.38776,1.38798,239.0
1705780800,1.38569,1.38577,1.377,1.38324,150.0
1705795200,1.38308,1.38409,1.37673,1.37779,100.0
