ts,open,high,low,close,volume
1704038400,1994.64667,1995.14815,1993.80368,1994.64667,100.0
1704052800,1994.76493,1997.41802,1960.73659,1972.90245,114.0
1704067200,1973.74929,1973.82918,1942.02926,1943.95787,115.0
1704081600,1941.18325,1944.31819,1940.86788,1941.84383,174.0
1704096000,1945.04014,1950.42096,1921.7049,1922.16189,508.0
1704110400,1922.02537,1923.11585,1852.52857,1853.56091,100.0
1704124800,1851.07401,1863.02891,1827.51277,1835.89047,100.0
1704139200,1836.91147,1837.04094,1836.77549,1836.80853,139.0
1704153600,1834.69433,1835.18857,1813.32449,1813.3327,100.0
1704168000,1813.64982,1813.9354,1801.63076,1801.82204,151.0
1704182400,1799.9209,1833.65966,1798.01851,1830.87247,100.0
1704196800,1830.26026,1839.03455,1829.99505,1838.45926,100.0
1704211200,1837.61966,1847.22555,1834.69385,1845.24341,440.0
1704225600,1846.86379,1864.81605,1844.27467,1863.80265,100.0
1704240000,1865.55374,1867.21409,1842.65501,1849.2123,124.0
1704254400,1852.55099,1856.92354,1837.58046,1842.39925,100.0
1704268800,1842.1439,1865.55142,1832.2961,1858.63021,252.0
1704283200,1856.61854,1886.51428,1856.5782,1886.35141,101.0
1704297600,1883.26952,1901.46056,1883.08988,1901.27374,412.0
1704312000,1902.07292,1903.32608,1892.60355,1892.68519,139.0
1704326400,1894.6726,1920.93772,1894.63627,1920.82291,326.0
1704340800,1919.50311,1956.45623,1914.53049,1956.35684,176.0
1704355200,1955.41838,1955.88131,1940.38676,1941.84247,621.0
1704369600,1941.41653,1948.25201,1906.42598,1907.17798,229.0
1704384000,1908.06296,1930.1105,1907.85835,1929.796,100.0
1704398400,1928.98546,1963.73652,1928.83849,1963.55736,110.0
1704412800,1963.29017,1963.34145,1910.04137,1910.13126,242.0
1704427200,1910.40445,1915.50194,1897.84168,1904.76068,100.0
1704441600,1904.97054,1905.38446,1881.74603,1881.91168,100.0
1704456000,1880.45124,1883.81117,1837.45786,1838.69802,444.0
1704470400,1841.99513,1843.32061,1832.65802,1833.92928,264.0
1704484800,1833.66825,1833.81002,1803.13623,1803.53232,211.0
1704499200,1804.68031,1809.73291,1800.98338,1803.3155,264.0
1704513600,1799.89941,1800.53684,1792.14327,1792.68199,427.0
1704528000,1793.65505,1793.84216,1779.56339,1780.51111,100.0
1704542400,1778.91126,1780.43195,1766.1142,1770.2362,195.0
1704556800,1771.0712,1773.04683,1749.5063,1760.14101,100.0
1704571200,1758.23516,1761.94017,1725.55128,1727.78427,1723.0
1704585600,1728.63351,1729.68031,1694.77069,1699.41304,343.0
1704600000,1699.78606,1700.04198,1672.31395,1672.52439,100.0
1704614400,1672.08276,1673.97296,1649.53621,1652.73149,100.0
1704628800,1651.97286,1662.7421,1648.79839,1661.22632,160.0
1704643200,1661.0956,1665.59039,1659.74675,1665.4608,141.0
1704657600,1662.58713,1684.77433,1662.06821,1683.2248,2305.0
1704672000,1682.8877,1704.50594,1681.51719,1702.26886,198.0
